word,ValoMapsAmount
map,106
concept,33
art,30
team,22
site,21
area,20
visual,20
player,20
artist,19
greybox,19
design,18
gameplay,17
level,15
valorant,15
work,15
idea,14
direction,13
use,13
help,13
tower,13
space,12
experience,12
fracture,11
two,11
blockout,11
designer,10
defender,10
phase,10
time,10
split,10
objective,10
create,9
build,9
part,9
goal,9
always,9
take,8
question,8
side,8
layout,8
sure,8
next,8
working,8
ascent,8
mid,8
city,8
today,7
attacker,7
really,7
simple,7
start,7
shape,7
try,7
environment,7
production,7
several,7
model,7
new,7
callout,7
creation,6
specific,6
early,6
iteration,6
change,6
version,6
image,6
development,6
point,6
process,6
world,6
key,6
example,6
stage,6
provide,6
play,6
feel,6
im,5
instead,5
started,5
spawn,5
critical,5
looking,5
position,5
opportunity,5
something,5
go,5
initial,5
place,5
created,5
within,5
location,5
along,5
final,5
provided,5
many,5
come,5
clarity,5
year,5
look,5
game,5
combat,5
using,5
texture,5
push,4
weapon,4
ability,4
unique,4
lead,4
read,4
b,4
core,4
often,4
structure,4
dish,4
theme,4
excited,4
together,4
playing,4
visually,4
kingdom,4
overall,4
establish,4
contrast,4
color,4
important,4
typically,4
high,4
helped,4
clear,4
rough,4
building,4
composition,4
mesh,4
fun,4
engine,4
tactical,4
allowed,4
month,4
blockin,4
better,4
clean,4
clearly,4
become,4
best,4
real,4
story,4
small,4
add,4
joe,3
moment,3
situation,3
number,3
different,3
solve,3
challenge,3
break,3
ziplines,3
though,3
hopefully,3
single,3
approach,3
completely,3
big,3
move,3
came,3
desert,3
good,3
keep,3
future,3
wrong,3
narrative,3
spent,3
lore,3
sector,3
sky,3
call,3
focus,3
target,3
check,3
everyone,3
follow,3
evolve,3
constraint,3
element,3
begin,3
complete,3
executing,3
needed,3
majority,3
detail,3
agent,3
especially,3
adding,3
interest,3
poi,3
bring,3
character,3
however,3
roster,3
spot,3
focused,3
offsite,3
creating,3
revision,3
making,3
life,3
icebox,3
creative,3
modeling,3
kitchen,3
performance,3
prop,3
bsite,3
philosophy,2
day,2
trying,2
ideal,2
permutation,2
problem,2
brian,2
yam,2
led,2
hshape,2
everything,2
didnt,2
anything,2
far,2
youve,2
found,2
fairly,2
took,2
original,2
rotation,2
path,2
complex,2
tunnel,2
thing,2
footprint,2
enough,2
giving,2
option,2
closer,2
thematic,2
seen,2
across,2
middle,2
task,2
quite,2
either,2
actually,2
decided,2
broken,2
tuning,2
great,2
secret,2
case,2
pretty,2
biome,2
storytelling,2
ripped,2
happened,2
guide,2
similar,2
perspective,2
identify,2
compelling,2
omega,2
facility,2
gone,2
went,2
palette,2
cool,2
thought,2
end,2
dollhouse,2
general,2
closely,2
iterate,2
view,2
type,2
block,2
refined,2
reflect,2
silhouette,2
inspired,2
artistic,2
roughly,2
architecture,2
attack,2
undergoing,2
nuance,2
locked,2
finish,2
discover,2
find,2
watching,2
starting,2
might,2
week,2
imagine,2
put,2
long,2
proposal,2
traditional,2
connection,2
mechanical,2
door,2
every,2
range,2
close,2
highlevel,2
orientation,2
navigation,2
ask,2
architectural,2
major,2
memorable,2
adhere,2
zone,2
mean,2
foot,2
visibility,2
courtyard,2
market,2
continued,2
getting,2
patch,2
angle,2
continue,2
improve,2
launch,2
center,2
evaluate,2
able,2
playtesting,2
certain,2
doesnt,2
earliest,2
playable,2
light,2
hand,2
essential,2
defending,2
smaller,2
overwatch,2
worked,2
taking,2
onto,2
jump,2
large,2
main,2
half,2
connect,2
focusing,2
foundation,2
spectacular,2
match,2
distinct,2
fighting,2
easy,2
section,2
inside,2
ready,2
spend,2
give,2
insight,2
variety,2
basic,2
built,2
avoid,2
limit,2
possible,2
gain,2
instance,2
spike,2
plant,2
stick,2
wall,2
dark,2
visible,2
substance,2
consider,2
tactibear,2
happen,2
represent,2
lansford,1
entered,1
fray,1
talk,1
refresher,1
accommodate,1
wild,1
hook,1
present,1
scenario,1
proposed,1
join,1
fissure,1
pinch,1
exploration,1
four,1
orb,1
quadrant,1
else,1
novel,1
strategic,1
layer,1
momenttomoment,1
gunplay,1
feeling,1
familiar,1
werent,1
required,1
lengthy,1
period,1
lock,1
looked,1
hallsdoor,1
underover,1
drop,1
alongside,1
wider,1
etc,1
differencesi,1
think,1
sold,1
promise,1
breakthrough,1
safer,1
hindsight,1
previous,1
ended,1
postplant,1
utility,1
left,1
choke,1
mention,1
standin,1
tried,1
additional,1
mini,1
linking,1
arcade,1
second,1
bridge,1
cutting,1
got,1
sorted,1
neutral,1
minimap,1
little,1
paced,1
desirable,1
holdgiving,1
flank,1
retake,1
reference,1
radar,1
striking,1
felt,1
originally,1
bit,1
open,1
fine,1
bunch,1
favorite,1
pitching,1
dual,1
presented,1
faction,1
apart,1
deepen,1
ingame,1
content,1
hello,1
ill,1
conceived,1
pitch,1
aspect,1
generally,1
capitalize,1
prompt,1
caused,1
hint,1
presence,1
sketch,1
science,1
sit,1
atop,1
canyon,1
partially,1
hidden,1
address,1
established,1
extreme,1
resulted,1
experiment,1
overgrown,1
foliage,1
alpha,1
rift,1
dividing,1
artistically,1
warm,1
versus,1
desertification,1
forestation,1
appreciate,1
memorizing,1
distinctively,1
blue,1
senior,1
theo,1
aretos,1
language,1
mood,1
top,1
show,1
overview,1
noted,1
thumbnail,1
information,1
helpful,1
compositional,1
following,1
drive,1
recognize,1
hit,1
background,1
initially,1
prior,1
completion,1
adequate,1
shell,1
landscape,1
tied,1
parameter,1
collaboration,1
reason,1
adjustment,1
need,1
done,1
improvement,1
watch,1
develop,1
interpretation,1
tradition,1
throughout,1
mapheres,1
word,1
inbox,1
meta,1
barely,1
form,1
eager,1
spoiler,1
clue,1
email,1
theyre,1
lost,1
spam,1
folder,1
discussion,1
ago,1
latest,1
landing,1
lap,1
developed,1
road,1
whole,1
kick,1
called,1
incubation,1
establishes,1
usually,1
include,1
topdown,1
plan,1
contain,1
experienced,1
foundational,1
threelane,1
alter,1
designed,1
baseline,1
grow,1
anywhere,1
prototype,1
extensively,1
fail,1
fast,1
dialin,1
sightline,1
encounter,1
distance,1
opening,1
width,1
leave,1
confident,1
intended,1
coincided,1
including,1
impact,1
power,1
ip,1
directionso,1
stayed,1
three,1
vision,1
attempt,1
answer,1
lingering,1
silky,1
smooth,1
fully,1
understand,1
cover,1
object,1
ideally,1
leaf,1
inform,1
essentially,1
hierarchy,1
reinforce,1
route,1
circulation,1
ascentcompsgif,1
chunk,1
medieval,1
italy,1
ground,1
thrown,1
integrate,1
central,1
existence,1
accentuating,1
domed,1
basilica,1
low,1
drained,1
canal,1
boathouse,1
tag,1
responsibility,1
fall,1
squarely,1
shoulder,1
amazing,1
finalized,1
rule,1
specifically,1
elevation,1
higher,1
simplified,1
head,1
putting,1
round,1
winning,1
beyond,1
talent,1
craft,1
special,1
last,1
ambient,1
audio,1
alive,1
deal,1
identifying,1
statue,1
mural,1
orient,1
garden,1
although,1
five,1
journey,1
reduced,1
complexity,1
feedback,1
floating,1
isle,1
howdy,1
folk,1
name,1
chris,1
carney,1
legendary,1
sal,1
garrozzo,1
discussing,1
loose,1
polished,1
behind,1
relatively,1
wide,1
array,1
wield,1
multitude,1
equal,1
crazy,1
bind,1
remove,1
ie,1
flanking,1
affect,1
fiveplayer,1
defense,1
intent,1
gimmick,1
geometry,1
mechanic,1
oneway,1
teleporters,1
ascender,1
achieve,1
doe,1
determine,1
poorly,1
diversity,1
allowing,1
shine,1
never,1
withstood,1
test,1
literally,1
earn,1
whether,1
capturing,1
simply,1
king,1
hill,1
bullet,1
proof,1
glass,1
indeed,1
hold,1
powerful,1
pulled,1
away,1
pushed,1
action,1
access,1
overlooked,1
strong,1
disconnected,1
third,1
firmly,1
connected,1
ladder,1
travel,1
reverse,1
unfortunately,1
porous,1
mess,1
hotzone,1
solution,1
directly,1
hallway,1
became,1
vent,1
sewer,1
divide,1
attacking,1
addition,1
crafted,1
ignoring,1
control,1
holding,1
difficult,1
finally,1
moved,1
earth,1
shooting,1
punctuated,1
japanese,1
dramatic,1
transformation,1
transformed,1
daily,1
everyday,1
citizen,1
increasing,1
alley,1
futuristic,1
goodness,1
incredible,1
old,1
shadow,1
massive,1
rd,1
clarify,1
divided,1
older,1
district,1
ever,1
expanding,1
tech,1
campus,1
anchored,1
raidanite,1
generator,1
overwhelming,1
strategy,1
enemy,1
rather,1
separating,1
generate,1
complemented,1
mental,1
released,1
refine,1
included,1
connecting,1
evaluating,1
meanwhilesee,1
hey,1
lydia,1
zanotti,1
release,1
right,1
cold,1
discus,1
lighting,1
qa,1
collaborative,1
feat,1
normally,1
grab,1
attention,1
rightfully,1
greyboxplaytesting,1
tweaking,1
youre,1
hear,1
person,1
paint,1
hope,1
success,1
misconception,1
crafting,1
touch,1
director,1
finding,1
iconic,1
series,1
bluesky,1
back,1
forth,1
project,1
leadership,1
marked,1
importantly,1
tackle,1
based,1
coverage,1
pipeline,1
unreal,1
maya,1
max,1
playtest,1
weekly,1
basis,1
bug,1
accurate,1
collision,1
noisy,1
compete,1
pivot,1
necessary,1
shift,1
redo,1
made,1
breathing,1
room,1
bound,1
beautiful,1
run,1
ambitious,1
reasonably,1
due,1
super,1
shooter,1
engineer,1
running,1
smoothly,1
tradeoff,1
sacrifice,1
quality,1
matter,1
optimizing,1
gather,1
data,1
memory,1
draw,1
amount,1
asset,1
meshesmeaning,1
pile,1
rock,1
immensely,1
populate,1
ton,1
construction,1
minus,1
hard,1
hat,1
personal,1
began,1
export,1
edge,1
line,1
perfectly,1
heavy,1
later,1
unwrap,1
arent,1
interior,1
maintain,1
integrity,1
impede,1
texturing,1
primarily,1
tiling,1
trim,1
sheet,1
program,1
zbrush,1
painter,1
photoshop,1
custom,1
coffee,1
machine,1
forklift,1
near,1
asite,1
carry,1
subordinate,1
noise,1
material,1
value,1
isnt,1
darkness,1
illuminate,1
spotlight,1
commonly,1
peeked,1
corner,1
motif,1
graffiti,1
tell,1
height,1
peek,1
designing,1
crosshair,1
placement,1
theming,1
easily,1
understood,1
pain,1
hearing,1
teammate,1
scream,1
garage,1
quick,1
say,1
heat,1
obvious,1
distinguish,1
yellow,1
shipping,1
container,1
worldbuilding,1
probably,1
flavor,1
maand,1
secretly,1
sneak,1
somewhere,1
judgement,1
let,1
energy,1
sticking,1
outside,1
bunker,1
glacier,1
interesting,1
storage,1
curving,1
without,1
worry,1
cant,1
anyway,1
a,1
sometime,1
thank,1
involve,1
seem,1
exist,1
inspire,1
consist,1
shader,1
upward,1
sculpt,1
